relationType,argSrc,argTrg
neither,"A bank bailout is very, very costly.","For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount."
support,"A bank bailout is very, very costly.",That's why we should not allow any additional bank rescues.
neither,"A bank bailout is very, very costly.",The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.
neither,"A bank bailout is very, very costly.",But even with that tiny amount you could do a lot of good elsewhere.
support,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.","A bank bailout is very, very costly."
neither,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",That's why we should not allow any additional bank rescues.
neither,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.
neither,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount.",But even with that tiny amount you could do a lot of good elsewhere.
neither,That's why we should not allow any additional bank rescues.,"A bank bailout is very, very costly."
neither,That's why we should not allow any additional bank rescues.,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount."
neither,That's why we should not allow any additional bank rescues.,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.
neither,That's why we should not allow any additional bank rescues.,But even with that tiny amount you could do a lot of good elsewhere.
attack,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,"A bank bailout is very, very costly."
neither,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount."
neither,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,That's why we should not allow any additional bank rescues.
neither,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.,But even with that tiny amount you could do a lot of good elsewhere.
neither,But even with that tiny amount you could do a lot of good elsewhere.,"A bank bailout is very, very costly."
neither,But even with that tiny amount you could do a lot of good elsewhere.,"For instance, the taxpayer stood in for the failed bank 'Hypo Real Estate' with a three-figure billion amount."
neither,But even with that tiny amount you could do a lot of good elsewhere.,That's why we should not allow any additional bank rescues.
attack,But even with that tiny amount you could do a lot of good elsewhere.,The politicians are trying to appease us with the fact that actually only a tiny amount of all that money was really spent.
