relationType,argSrc,argTrg
support,"For years there has been a housing shortage in Berlin,","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea."
neither,"For years there has been a housing shortage in Berlin,","Since the area belongs to the federal state, or the federation,"
neither,"For years there has been a housing shortage in Berlin,",it could even be used for social housing with affordable rents.
neither,"For years there has been a housing shortage in Berlin,","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer."
neither,"For years there has been a housing shortage in Berlin,","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction."
neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","For years there has been a housing shortage in Berlin,"
neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","Since the area belongs to the federal state, or the federation,"
neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.",it could even be used for social housing with affordable rents.
neither,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer."
support,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea.","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction."
neither,"Since the area belongs to the federal state, or the federation,","For years there has been a housing shortage in Berlin,"
neither,"Since the area belongs to the federal state, or the federation,","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea."
support,"Since the area belongs to the federal state, or the federation,",it could even be used for social housing with affordable rents.
neither,"Since the area belongs to the federal state, or the federation,","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer."
neither,"Since the area belongs to the federal state, or the federation,","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction."
neither,it could even be used for social housing with affordable rents.,"For years there has been a housing shortage in Berlin,"
support,it could even be used for social housing with affordable rents.,"so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea."
neither,it could even be used for social housing with affordable rents.,"Since the area belongs to the federal state, or the federation,"
neither,it could even be used for social housing with affordable rents.,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer."
neither,it could even be used for social housing with affordable rents.,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction."
neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","For years there has been a housing shortage in Berlin,"
attack,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea."
neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","Since the area belongs to the federal state, or the federation,"
neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.",it could even be used for social housing with affordable rents.
neither,"Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer.","If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction."
neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","For years there has been a housing shortage in Berlin,"
neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","so that using Tempelhofer Feld, which offers a lot of open space and is currently hardly developed, as living space is a sensible idea."
neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","Since the area belongs to the federal state, or the federation,"
neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.",it could even be used for social housing with affordable rents.
neither,"If however one could find a compromise between green space and housing, then Tempelhofer Feld should definitely be made available for residential construction.","Admittedly the fields have currently become an attractive leisure park with sporting areas for many visitors and Berliners, especially in spring and summer."
