relationType,argSrc,argTrg
neither,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.,It is an asset for the economy.
neither,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.,The negative impact of air traffic however is considerable.
neither,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.,Air traffic is extremely environmentally unfriendly.
neither,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades."
support,It is an asset for the economy.,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.
neither,It is an asset for the economy.,The negative impact of air traffic however is considerable.
neither,It is an asset for the economy.,Air traffic is extremely environmentally unfriendly.
neither,It is an asset for the economy.,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades."
attack,The negative impact of air traffic however is considerable.,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.
neither,The negative impact of air traffic however is considerable.,It is an asset for the economy.
neither,The negative impact of air traffic however is considerable.,Air traffic is extremely environmentally unfriendly.
neither,The negative impact of air traffic however is considerable.,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades."
neither,Air traffic is extremely environmentally unfriendly.,As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.
neither,Air traffic is extremely environmentally unfriendly.,It is an asset for the economy.
support,Air traffic is extremely environmentally unfriendly.,The negative impact of air traffic however is considerable.
neither,Air traffic is extremely environmentally unfriendly.,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades."
neither,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades.",As a central airport Berlin Tegel is particularly attractive for business travellers and should by all means remain operational.
neither,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades.",It is an asset for the economy.
support,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades.",The negative impact of air traffic however is considerable.
neither,"Particularly in Tegel, the residents have been bearing the stress of aircraft noise for decades.",Air traffic is extremely environmentally unfriendly.
