relationType,argSrc,argTrg
neither,"Whenever Peter bumps into an ex-girlfriend at a party, he forgoes any further consumption of alcohol just in case.",When he got back from Ralf's party last night he was still stone-cold sober.
support,"Whenever Peter bumps into an ex-girlfriend at a party, he forgoes any further consumption of alcohol just in case.",Thus one of his ex-girlfriends must have been there.
neither,"Whenever Peter bumps into an ex-girlfriend at a party, he forgoes any further consumption of alcohol just in case.",Ralf does insist that they drank advocaat together.
neither,"Whenever Peter bumps into an ex-girlfriend at a party, he forgoes any further consumption of alcohol just in case.",But even without an ex-girlfriend he would never touch that.
neither,When he got back from Ralf's party last night he was still stone-cold sober.,"Whenever Peter bumps into an ex-girlfriend at a party, he forgoes any further consumption of alcohol just in case."
support,When he got back from Ralf's party last night he was still stone-cold sober.,Thus one of his ex-girlfriends must have been there.
neither,When he got back from Ralf's party last night he was still stone-cold sober.,Ralf does insist that they drank advocaat together.
neither,When he got back from Ralf's party last night he was still stone-cold sober.,But even without an ex-girlfriend he would never touch that.
neither,Thus one of his ex-girlfriends must have been there.,"Whenever Peter bumps into an ex-girlfriend at a party, he forgoes any further consumption of alcohol just in case."
neither,Thus one of his ex-girlfriends must have been there.,When he got back from Ralf's party last night he was still stone-cold sober.
neither,Thus one of his ex-girlfriends must have been there.,Ralf does insist that they drank advocaat together.
neither,Thus one of his ex-girlfriends must have been there.,But even without an ex-girlfriend he would never touch that.
neither,Ralf does insist that they drank advocaat together.,"Whenever Peter bumps into an ex-girlfriend at a party, he forgoes any further consumption of alcohol just in case."
attack,Ralf does insist that they drank advocaat together.,When he got back from Ralf's party last night he was still stone-cold sober.
neither,Ralf does insist that they drank advocaat together.,Thus one of his ex-girlfriends must have been there.
neither,Ralf does insist that they drank advocaat together.,But even without an ex-girlfriend he would never touch that.
neither,But even without an ex-girlfriend he would never touch that.,"Whenever Peter bumps into an ex-girlfriend at a party, he forgoes any further consumption of alcohol just in case."
neither,But even without an ex-girlfriend he would never touch that.,When he got back from Ralf's party last night he was still stone-cold sober.
neither,But even without an ex-girlfriend he would never touch that.,Thus one of his ex-girlfriends must have been there.
attack,But even without an ex-girlfriend he would never touch that.,Ralf does insist that they drank advocaat together.
