relationType,argSrc,argTrg
support,It is desirable that no one channels his or her wealth past the tax authorities.,Those who do or try to should be held accountable if at all possible.
neither,It is desirable that no one channels his or her wealth past the tax authorities.,"Having said that, state funds are often wasted on nonsensical investments,"
neither,It is desirable that no one channels his or her wealth past the tax authorities.,so that this ideal appears unworthy of support in many ways.
neither,It is desirable that no one channels his or her wealth past the tax authorities.,"Besides, the trading of information is obviously driven by greed of gain."
neither,It is desirable that no one channels his or her wealth past the tax authorities.,Tax data that are not made available for free should therefore not be acquired by the state.
neither,Those who do or try to should be held accountable if at all possible.,It is desirable that no one channels his or her wealth past the tax authorities.
neither,Those who do or try to should be held accountable if at all possible.,"Having said that, state funds are often wasted on nonsensical investments,"
neither,Those who do or try to should be held accountable if at all possible.,so that this ideal appears unworthy of support in many ways.
neither,Those who do or try to should be held accountable if at all possible.,"Besides, the trading of information is obviously driven by greed of gain."
attack,Those who do or try to should be held accountable if at all possible.,Tax data that are not made available for free should therefore not be acquired by the state.
neither,"Having said that, state funds are often wasted on nonsensical investments,",It is desirable that no one channels his or her wealth past the tax authorities.
neither,"Having said that, state funds are often wasted on nonsensical investments,",Those who do or try to should be held accountable if at all possible.
support,"Having said that, state funds are often wasted on nonsensical investments,",so that this ideal appears unworthy of support in many ways.
neither,"Having said that, state funds are often wasted on nonsensical investments,","Besides, the trading of information is obviously driven by greed of gain."
neither,"Having said that, state funds are often wasted on nonsensical investments,",Tax data that are not made available for free should therefore not be acquired by the state.
neither,so that this ideal appears unworthy of support in many ways.,It is desirable that no one channels his or her wealth past the tax authorities.
neither,so that this ideal appears unworthy of support in many ways.,Those who do or try to should be held accountable if at all possible.
neither,so that this ideal appears unworthy of support in many ways.,"Having said that, state funds are often wasted on nonsensical investments,"
neither,so that this ideal appears unworthy of support in many ways.,"Besides, the trading of information is obviously driven by greed of gain."
support,so that this ideal appears unworthy of support in many ways.,Tax data that are not made available for free should therefore not be acquired by the state.
neither,"Besides, the trading of information is obviously driven by greed of gain.",It is desirable that no one channels his or her wealth past the tax authorities.
neither,"Besides, the trading of information is obviously driven by greed of gain.",Those who do or try to should be held accountable if at all possible.
neither,"Besides, the trading of information is obviously driven by greed of gain.","Having said that, state funds are often wasted on nonsensical investments,"
neither,"Besides, the trading of information is obviously driven by greed of gain.",so that this ideal appears unworthy of support in many ways.
support,"Besides, the trading of information is obviously driven by greed of gain.",Tax data that are not made available for free should therefore not be acquired by the state.
neither,Tax data that are not made available for free should therefore not be acquired by the state.,It is desirable that no one channels his or her wealth past the tax authorities.
neither,Tax data that are not made available for free should therefore not be acquired by the state.,Those who do or try to should be held accountable if at all possible.
neither,Tax data that are not made available for free should therefore not be acquired by the state.,"Having said that, state funds are often wasted on nonsensical investments,"
neither,Tax data that are not made available for free should therefore not be acquired by the state.,so that this ideal appears unworthy of support in many ways.
neither,Tax data that are not made available for free should therefore not be acquired by the state.,"Besides, the trading of information is obviously driven by greed of gain."
