relationType,argSrc,argTrg
neither,The choice of an attending physician is at the discretion of the patient.,Yet the funds of the health insurance companies are a common benefit for all premium payers.
attack,The choice of an attending physician is at the discretion of the patient.,They should not be spent on personal preferences without proven use.
neither,The choice of an attending physician is at the discretion of the patient.,The effectiveness of many natural remedies has not been demonstrated.
neither,The choice of an attending physician is at the discretion of the patient.,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
neither,Yet the funds of the health insurance companies are a common benefit for all premium payers.,The choice of an attending physician is at the discretion of the patient.
support,Yet the funds of the health insurance companies are a common benefit for all premium payers.,They should not be spent on personal preferences without proven use.
neither,Yet the funds of the health insurance companies are a common benefit for all premium payers.,The effectiveness of many natural remedies has not been demonstrated.
neither,Yet the funds of the health insurance companies are a common benefit for all premium payers.,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
neither,They should not be spent on personal preferences without proven use.,The choice of an attending physician is at the discretion of the patient.
neither,They should not be spent on personal preferences without proven use.,Yet the funds of the health insurance companies are a common benefit for all premium payers.
neither,They should not be spent on personal preferences without proven use.,The effectiveness of many natural remedies has not been demonstrated.
support,They should not be spent on personal preferences without proven use.,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
neither,The effectiveness of many natural remedies has not been demonstrated.,The choice of an attending physician is at the discretion of the patient.
neither,The effectiveness of many natural remedies has not been demonstrated.,Yet the funds of the health insurance companies are a common benefit for all premium payers.
neither,The effectiveness of many natural remedies has not been demonstrated.,They should not be spent on personal preferences without proven use.
support,The effectiveness of many natural remedies has not been demonstrated.,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.
neither,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.,The choice of an attending physician is at the discretion of the patient.
neither,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.,Yet the funds of the health insurance companies are a common benefit for all premium payers.
neither,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.,They should not be spent on personal preferences without proven use.
neither,Therefore no unproven and unrecognized treatments by naturopaths should be reimbursed by the insurance companies.,The effectiveness of many natural remedies has not been demonstrated.
