relationType,argSrc,argTrg
neither,"Alternative treatments should be subsidized in the same way as conventional treatments,","since both methods can lead to the prevention, mitigation or cure of an illness."
neither,"Alternative treatments should be subsidized in the same way as conventional treatments,","Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,"
neither,"Alternative treatments should be subsidized in the same way as conventional treatments,",since there is a chance of recovery.
neither,"Alternative treatments should be subsidized in the same way as conventional treatments,",It doesn't matter after all that those who administer the treatment don't have 'doctor status'.
support,"since both methods can lead to the prevention, mitigation or cure of an illness.","Alternative treatments should be subsidized in the same way as conventional treatments,"
neither,"since both methods can lead to the prevention, mitigation or cure of an illness.","Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,"
neither,"since both methods can lead to the prevention, mitigation or cure of an illness.",since there is a chance of recovery.
neither,"since both methods can lead to the prevention, mitigation or cure of an illness.",It doesn't matter after all that those who administer the treatment don't have 'doctor status'.
support,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,","Alternative treatments should be subsidized in the same way as conventional treatments,"
neither,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,","since both methods can lead to the prevention, mitigation or cure of an illness."
neither,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,",since there is a chance of recovery.
neither,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,",It doesn't matter after all that those who administer the treatment don't have 'doctor status'.
neither,since there is a chance of recovery.,"Alternative treatments should be subsidized in the same way as conventional treatments,"
neither,since there is a chance of recovery.,"since both methods can lead to the prevention, mitigation or cure of an illness."
support,since there is a chance of recovery.,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,"
neither,since there is a chance of recovery.,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.
support,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,"Alternative treatments should be subsidized in the same way as conventional treatments,"
neither,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,"since both methods can lead to the prevention, mitigation or cure of an illness."
neither,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,"Besides it should be in the interest of the health insurers to recognize alternative medicine as treatment,"
neither,It doesn't matter after all that those who administer the treatment don't have 'doctor status'.,since there is a chance of recovery.
