relationType,argSrc,argTrg
neither,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",then again supermarkets and large shopping centres dominate the market today already.
neither,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,","Thus smaller shops could benefit from the additional freedom,"
neither,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",as customers are on average more laid-back on Sunday.
attack,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,",Opening on Sundays and holidays would therefore help both customers and shops.
attack,then again supermarkets and large shopping centres dominate the market today already.,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,"
neither,then again supermarkets and large shopping centres dominate the market today already.,"Thus smaller shops could benefit from the additional freedom,"
neither,then again supermarkets and large shopping centres dominate the market today already.,as customers are on average more laid-back on Sunday.
neither,then again supermarkets and large shopping centres dominate the market today already.,Opening on Sundays and holidays would therefore help both customers and shops.
neither,"Thus smaller shops could benefit from the additional freedom,","Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,"
neither,"Thus smaller shops could benefit from the additional freedom,",then again supermarkets and large shopping centres dominate the market today already.
neither,"Thus smaller shops could benefit from the additional freedom,",as customers are on average more laid-back on Sunday.
support,"Thus smaller shops could benefit from the additional freedom,",Opening on Sundays and holidays would therefore help both customers and shops.
neither,as customers are on average more laid-back on Sunday.,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,"
neither,as customers are on average more laid-back on Sunday.,then again supermarkets and large shopping centres dominate the market today already.
support,as customers are on average more laid-back on Sunday.,"Thus smaller shops could benefit from the additional freedom,"
neither,as customers are on average more laid-back on Sunday.,Opening on Sundays and holidays would therefore help both customers and shops.
neither,Opening on Sundays and holidays would therefore help both customers and shops.,"Owner-run shops may potentially be overwhelmed by additional work times on Sundays and holidays,"
neither,Opening on Sundays and holidays would therefore help both customers and shops.,then again supermarkets and large shopping centres dominate the market today already.
neither,Opening on Sundays and holidays would therefore help both customers and shops.,"Thus smaller shops could benefit from the additional freedom,"
neither,Opening on Sundays and holidays would therefore help both customers and shops.,as customers are on average more laid-back on Sunday.
