relationType,argSrc,argTrg
neither,Every German citizen has a right to education.,"Quality at universities has its price,"
neither,Every German citizen has a right to education.,which is why students also ought to be involved in this cost factor.
neither,Every German citizen has a right to education.,But education must not be a question of money in a wealthy society such as Germany.
support,Every German citizen has a right to education.,Therefore universities should not charge tuition fees in Germany.
neither,"Quality at universities has its price,",Every German citizen has a right to education.
support,"Quality at universities has its price,",which is why students also ought to be involved in this cost factor.
neither,"Quality at universities has its price,",But education must not be a question of money in a wealthy society such as Germany.
neither,"Quality at universities has its price,",Therefore universities should not charge tuition fees in Germany.
neither,which is why students also ought to be involved in this cost factor.,Every German citizen has a right to education.
neither,which is why students also ought to be involved in this cost factor.,"Quality at universities has its price,"
neither,which is why students also ought to be involved in this cost factor.,But education must not be a question of money in a wealthy society such as Germany.
attack,which is why students also ought to be involved in this cost factor.,Therefore universities should not charge tuition fees in Germany.
neither,But education must not be a question of money in a wealthy society such as Germany.,Every German citizen has a right to education.
neither,But education must not be a question of money in a wealthy society such as Germany.,"Quality at universities has its price,"
attack,But education must not be a question of money in a wealthy society such as Germany.,which is why students also ought to be involved in this cost factor.
neither,But education must not be a question of money in a wealthy society such as Germany.,Therefore universities should not charge tuition fees in Germany.
neither,Therefore universities should not charge tuition fees in Germany.,Every German citizen has a right to education.
neither,Therefore universities should not charge tuition fees in Germany.,"Quality at universities has its price,"
neither,Therefore universities should not charge tuition fees in Germany.,which is why students also ought to be involved in this cost factor.
neither,Therefore universities should not charge tuition fees in Germany.,But education must not be a question of money in a wealthy society such as Germany.
