relationType,argSrc,argTrg
neither,Complementary medicine includes treatments with proven health benefits in many areas,"which are often less costly than medication from conventional medicine, which are also paid for after all."
neither,Complementary medicine includes treatments with proven health benefits in many areas,Often natural treatments do not put as much of a strain on the patient.
neither,Complementary medicine includes treatments with proven health benefits in many areas,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.
support,Complementary medicine includes treatments with proven health benefits in many areas,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
neither,"which are often less costly than medication from conventional medicine, which are also paid for after all.",Complementary medicine includes treatments with proven health benefits in many areas
neither,"which are often less costly than medication from conventional medicine, which are also paid for after all.",Often natural treatments do not put as much of a strain on the patient.
neither,"which are often less costly than medication from conventional medicine, which are also paid for after all.",Such therapies can frequently result in an improvement in the condition through the active participation of the patient.
support,"which are often less costly than medication from conventional medicine, which are also paid for after all.",The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
neither,Often natural treatments do not put as much of a strain on the patient.,Complementary medicine includes treatments with proven health benefits in many areas
neither,Often natural treatments do not put as much of a strain on the patient.,"which are often less costly than medication from conventional medicine, which are also paid for after all."
neither,Often natural treatments do not put as much of a strain on the patient.,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.
support,Often natural treatments do not put as much of a strain on the patient.,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
neither,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.,Complementary medicine includes treatments with proven health benefits in many areas
neither,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.,"which are often less costly than medication from conventional medicine, which are also paid for after all."
neither,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.,Often natural treatments do not put as much of a strain on the patient.
support,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.
neither,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.,Complementary medicine includes treatments with proven health benefits in many areas
neither,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.,"which are often less costly than medication from conventional medicine, which are also paid for after all."
neither,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.,Often natural treatments do not put as much of a strain on the patient.
neither,The health insurance companies ought to be enabled to recognize a doctor's decision for natural treatment and also to cover it.,Such therapies can frequently result in an improvement in the condition through the active participation of the patient.
