relationType,argSrc,argTrg
neither,"One should not re-introduce capital punishment in Germany,",since no one can claim the right to rule over the life or death of another human being.
neither,"One should not re-introduce capital punishment in Germany,",Capital punishment will not deter anyone else from an atrocity.
neither,"One should not re-introduce capital punishment in Germany,",Everyone must be given the chance to hone their conscience and possibly make amends for their deed.
support,since no one can claim the right to rule over the life or death of another human being.,"One should not re-introduce capital punishment in Germany,"
neither,since no one can claim the right to rule over the life or death of another human being.,Capital punishment will not deter anyone else from an atrocity.
neither,since no one can claim the right to rule over the life or death of another human being.,Everyone must be given the chance to hone their conscience and possibly make amends for their deed.
support,Capital punishment will not deter anyone else from an atrocity.,"One should not re-introduce capital punishment in Germany,"
neither,Capital punishment will not deter anyone else from an atrocity.,since no one can claim the right to rule over the life or death of another human being.
neither,Capital punishment will not deter anyone else from an atrocity.,Everyone must be given the chance to hone their conscience and possibly make amends for their deed.
support,Everyone must be given the chance to hone their conscience and possibly make amends for their deed.,"One should not re-introduce capital punishment in Germany,"
neither,Everyone must be given the chance to hone their conscience and possibly make amends for their deed.,since no one can claim the right to rule over the life or death of another human being.
neither,Everyone must be given the chance to hone their conscience and possibly make amends for their deed.,Capital punishment will not deter anyone else from an atrocity.
