relationType,argSrc,argTrg
neither,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.",It is in fact good to support sophisticated programming through fees.
neither,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.","Curiously, however, there are still adverts and product placements on the public channels."
neither,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.","What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?"
neither,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc.",Also the scripts are often copied off each other.
attack,It is in fact good to support sophisticated programming through fees.,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc."
neither,It is in fact good to support sophisticated programming through fees.,"Curiously, however, there are still adverts and product placements on the public channels."
neither,It is in fact good to support sophisticated programming through fees.,"What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?"
neither,It is in fact good to support sophisticated programming through fees.,Also the scripts are often copied off each other.
support,"Curiously, however, there are still adverts and product placements on the public channels.","Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc."
neither,"Curiously, however, there are still adverts and product placements on the public channels.",It is in fact good to support sophisticated programming through fees.
neither,"Curiously, however, there are still adverts and product placements on the public channels.","What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?"
neither,"Curiously, however, there are still adverts and product placements on the public channels.",Also the scripts are often copied off each other.
support,"What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?","Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc."
neither,"What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?",It is in fact good to support sophisticated programming through fees.
neither,"What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?","Curiously, however, there are still adverts and product placements on the public channels."
neither,"What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?",Also the scripts are often copied off each other.
support,Also the scripts are often copied off each other.,"Actually only those people should pay a TV & radio licence fee who really watch ARD, ZDF, Arte etc."
neither,Also the scripts are often copied off each other.,It is in fact good to support sophisticated programming through fees.
neither,Also the scripts are often copied off each other.,"Curiously, however, there are still adverts and product placements on the public channels."
neither,Also the scripts are often copied off each other.,"What are you paying for, then? That the same actors time and again get to have a laugh at exotic shooting locations?"
