relationType,argSrc,argTrg
support,"Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!",It would be fair to make them into an Olympic event.
neither,"Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!","Perhaps it is less thrilling for a spectator than for the player,"
neither,"Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!","but also for contemporary Olympic events, I recall curling and 50km cross-country skiing, you have to be more than a freak to follow those more properly than only in the roundup of highlights."
neither,"Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!","Plus the hurdle to make video games Olympic events is minimal,"
neither,"Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!","as you don't even need doping tests, only a neutral console."
neither,"Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!","And many a video game is physically and particularly mentally more demanding, when I think of the last FIFA tournament's final, than kicking a ball 20 metres."
neither,It would be fair to make them into an Olympic event.,"Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!"
neither,It would be fair to make them into an Olympic event.,"Perhaps it is less thrilling for a spectator than for the player,"
neither,It would be fair to make them into an Olympic event.,"but also for contemporary Olympic events, I recall curling and 50km cross-country skiing, you have to be more than a freak to follow those more properly than only in the roundup of highlights."
neither,It would be fair to make them into an Olympic event.,"Plus the hurdle to make video games Olympic events is minimal,"
neither,It would be fair to make them into an Olympic event.,"as you don't even need doping tests, only a neutral console."
neither,It would be fair to make them into an Olympic event.,"And many a video game is physically and particularly mentally more demanding, when I think of the last FIFA tournament's final, than kicking a ball 20 metres."
neither,"Perhaps it is less thrilling for a spectator than for the player,","Video games, namely FIFA in my case, can fascinate young people for hours more intensively and emotionally than any sport in the world!"
attack,"Perhaps it is less thrilling for a spectator than for the player,",It would be fair to make them into an Olympic event.
neither,"Perhaps it is less thrilling for a spectator than for the player,","but also for contemporary Olympic events, I recall curling and 50km cross-country skiing, you have to be more than a freak to follow those more properly than only in the roundup of highlights."
