relationType,argSrc,argTrg
neither,School uniforms should not be worn in our schools.,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.
neither,School uniforms should not be worn in our schools.,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.
neither,School uniforms should not be worn in our schools.,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.
attack,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.,School uniforms should not be worn in our schools.
neither,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.
neither,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.
neither,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.,School uniforms should not be worn in our schools.
attack,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.
neither,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.
support,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.,School uniforms should not be worn in our schools.
neither,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.,They do offer the benefit that the competition over brand-name clothes and the discrimination of the socially weak are prevented.
neither,Plus such uniforms also stand for ideological conformity and for the suppression of individual self-development.,Nevertheless hardly anyone wishes to dress themselves or their children in a standard uniform.
