relationType,argSrc,argTrg
neither,'Property entails commitment' is one of the tenets of our social order.,Everyone should be able to get the utmost profit from his or her property.
neither,'Property entails commitment' is one of the tenets of our social order.,"A fixing of rent prices according to the market alone, however, will lead to a further division of society."
neither,'Property entails commitment' is one of the tenets of our social order.,The rich and poor live in different neighbourhoods.
support,'Property entails commitment' is one of the tenets of our social order.,A constant increase in rent upon a change of tenants hence cannot be desired by society.
attack,Everyone should be able to get the utmost profit from his or her property.,'Property entails commitment' is one of the tenets of our social order.
neither,Everyone should be able to get the utmost profit from his or her property.,"A fixing of rent prices according to the market alone, however, will lead to a further division of society."
neither,Everyone should be able to get the utmost profit from his or her property.,The rich and poor live in different neighbourhoods.
neither,Everyone should be able to get the utmost profit from his or her property.,A constant increase in rent upon a change of tenants hence cannot be desired by society.
neither,"A fixing of rent prices according to the market alone, however, will lead to a further division of society.",'Property entails commitment' is one of the tenets of our social order.
attack,"A fixing of rent prices according to the market alone, however, will lead to a further division of society.",Everyone should be able to get the utmost profit from his or her property.
neither,"A fixing of rent prices according to the market alone, however, will lead to a further division of society.",The rich and poor live in different neighbourhoods.
neither,"A fixing of rent prices according to the market alone, however, will lead to a further division of society.",A constant increase in rent upon a change of tenants hence cannot be desired by society.
neither,The rich and poor live in different neighbourhoods.,'Property entails commitment' is one of the tenets of our social order.
neither,The rich and poor live in different neighbourhoods.,Everyone should be able to get the utmost profit from his or her property.
support,The rich and poor live in different neighbourhoods.,"A fixing of rent prices according to the market alone, however, will lead to a further division of society."
neither,The rich and poor live in different neighbourhoods.,A constant increase in rent upon a change of tenants hence cannot be desired by society.
neither,A constant increase in rent upon a change of tenants hence cannot be desired by society.,'Property entails commitment' is one of the tenets of our social order.
neither,A constant increase in rent upon a change of tenants hence cannot be desired by society.,Everyone should be able to get the utmost profit from his or her property.
neither,A constant increase in rent upon a change of tenants hence cannot be desired by society.,"A fixing of rent prices according to the market alone, however, will lead to a further division of society."
neither,A constant increase in rent upon a change of tenants hence cannot be desired by society.,The rich and poor live in different neighbourhoods.
