relationType,argSrc,argTrg
neither,"Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming.","In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?"
neither,"Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming.","By now you have advertising on all channels,"
neither,"Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming.",so there's no advantage for the current paying viewers of the public broadcasters.
neither,"Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming.",Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.
neither,"Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming.","That shouldn't be an issue though, given the sheer number of programmes and stations that essentially show the same things anyway."
support,"In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?","Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming."
neither,"In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?","By now you have advertising on all channels,"
neither,"In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?",so there's no advantage for the current paying viewers of the public broadcasters.
neither,"In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?",Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.
neither,"In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?","That shouldn't be an issue though, given the sheer number of programmes and stations that essentially show the same things anyway."
neither,"By now you have advertising on all channels,","Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming."
neither,"By now you have advertising on all channels,","In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?"
support,"By now you have advertising on all channels,",so there's no advantage for the current paying viewers of the public broadcasters.
neither,"By now you have advertising on all channels,",Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.
neither,"By now you have advertising on all channels,","That shouldn't be an issue though, given the sheer number of programmes and stations that essentially show the same things anyway."
support,so there's no advantage for the current paying viewers of the public broadcasters.,"Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming."
neither,so there's no advantage for the current paying viewers of the public broadcasters.,"In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?"
neither,so there's no advantage for the current paying viewers of the public broadcasters.,"By now you have advertising on all channels,"
neither,so there's no advantage for the current paying viewers of the public broadcasters.,Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.
neither,so there's no advantage for the current paying viewers of the public broadcasters.,"That shouldn't be an issue though, given the sheer number of programmes and stations that essentially show the same things anyway."
attack,Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.,"Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming."
neither,Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.,"In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?"
neither,Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.,"By now you have advertising on all channels,"
neither,Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.,so there's no advantage for the current paying viewers of the public broadcasters.
neither,Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.,"That shouldn't be an issue though, given the sheer number of programmes and stations that essentially show the same things anyway."
neither,"That shouldn't be an issue though, given the sheer number of programmes and stations that essentially show the same things anyway.","Considering what's on television these days, it would be appropriate to only have those people pay who actually (want to) follow the programming."
neither,"That shouldn't be an issue though, given the sheer number of programmes and stations that essentially show the same things anyway.","In some cases there are only shows for older generations on at prime times, so why then should everyone pay for this?"
neither,"That shouldn't be an issue though, given the sheer number of programmes and stations that essentially show the same things anyway.","By now you have advertising on all channels,"
neither,"That shouldn't be an issue though, given the sheer number of programmes and stations that essentially show the same things anyway.",so there's no advantage for the current paying viewers of the public broadcasters.
attack,"That shouldn't be an issue though, given the sheer number of programmes and stations that essentially show the same things anyway.",Nevertheless one has to point out that there'd probably be way fewer stations if it weren’t the whole of Germany that’s obliged to pay.
