relationType,argSrc,argTrg
neither,There should be a higher fine for dog dirt on the pavement.,Dog dirt is disgusting and a hygiene problem.
neither,There should be a higher fine for dog dirt on the pavement.,"Also children, adults and other animals aren't allowed to leave droppings on the pavement."
neither,There should be a higher fine for dog dirt on the pavement.,"If you dispose of the waste then and there yourself, no fine is necessary."
support,Dog dirt is disgusting and a hygiene problem.,There should be a higher fine for dog dirt on the pavement.
neither,Dog dirt is disgusting and a hygiene problem.,"Also children, adults and other animals aren't allowed to leave droppings on the pavement."
neither,Dog dirt is disgusting and a hygiene problem.,"If you dispose of the waste then and there yourself, no fine is necessary."
support,"Also children, adults and other animals aren't allowed to leave droppings on the pavement.",There should be a higher fine for dog dirt on the pavement.
neither,"Also children, adults and other animals aren't allowed to leave droppings on the pavement.",Dog dirt is disgusting and a hygiene problem.
neither,"Also children, adults and other animals aren't allowed to leave droppings on the pavement.","If you dispose of the waste then and there yourself, no fine is necessary."
support,"If you dispose of the waste then and there yourself, no fine is necessary.",There should be a higher fine for dog dirt on the pavement.
neither,"If you dispose of the waste then and there yourself, no fine is necessary.",Dog dirt is disgusting and a hygiene problem.
neither,"If you dispose of the waste then and there yourself, no fine is necessary.","Also children, adults and other animals aren't allowed to leave droppings on the pavement."
