relationType,argSrc,argTrg
neither,"From time immemorial humans have had complementary medicine,",and it has not generally been ineffective.
support,"From time immemorial humans have had complementary medicine,",A reduction in the amount of chemically produced medication per person is most certainly desirable.
neither,"From time immemorial humans have had complementary medicine,","This will do little damage to the pharmaceutical industry,"
neither,"From time immemorial humans have had complementary medicine,",and conventional medicine will also hardly suffer.
neither,"From time immemorial humans have had complementary medicine,",The patient could learn to be more aware of his or her body and to treat it more healthily.
neither,and it has not generally been ineffective.,"From time immemorial humans have had complementary medicine,"
support,and it has not generally been ineffective.,A reduction in the amount of chemically produced medication per person is most certainly desirable.
neither,and it has not generally been ineffective.,"This will do little damage to the pharmaceutical industry,"
neither,and it has not generally been ineffective.,and conventional medicine will also hardly suffer.
neither,and it has not generally been ineffective.,The patient could learn to be more aware of his or her body and to treat it more healthily.
neither,A reduction in the amount of chemically produced medication per person is most certainly desirable.,"From time immemorial humans have had complementary medicine,"
neither,A reduction in the amount of chemically produced medication per person is most certainly desirable.,and it has not generally been ineffective.
neither,A reduction in the amount of chemically produced medication per person is most certainly desirable.,"This will do little damage to the pharmaceutical industry,"
neither,A reduction in the amount of chemically produced medication per person is most certainly desirable.,and conventional medicine will also hardly suffer.
neither,A reduction in the amount of chemically produced medication per person is most certainly desirable.,The patient could learn to be more aware of his or her body and to treat it more healthily.
neither,"This will do little damage to the pharmaceutical industry,","From time immemorial humans have had complementary medicine,"
neither,"This will do little damage to the pharmaceutical industry,",and it has not generally been ineffective.
support,"This will do little damage to the pharmaceutical industry,",A reduction in the amount of chemically produced medication per person is most certainly desirable.
neither,"This will do little damage to the pharmaceutical industry,",and conventional medicine will also hardly suffer.
neither,"This will do little damage to the pharmaceutical industry,",The patient could learn to be more aware of his or her body and to treat it more healthily.
neither,and conventional medicine will also hardly suffer.,"From time immemorial humans have had complementary medicine,"
neither,and conventional medicine will also hardly suffer.,and it has not generally been ineffective.
support,and conventional medicine will also hardly suffer.,A reduction in the amount of chemically produced medication per person is most certainly desirable.
neither,and conventional medicine will also hardly suffer.,"This will do little damage to the pharmaceutical industry,"
neither,and conventional medicine will also hardly suffer.,The patient could learn to be more aware of his or her body and to treat it more healthily.
neither,The patient could learn to be more aware of his or her body and to treat it more healthily.,"From time immemorial humans have had complementary medicine,"
neither,The patient could learn to be more aware of his or her body and to treat it more healthily.,and it has not generally been ineffective.
support,The patient could learn to be more aware of his or her body and to treat it more healthily.,A reduction in the amount of chemically produced medication per person is most certainly desirable.
neither,The patient could learn to be more aware of his or her body and to treat it more healthily.,"This will do little damage to the pharmaceutical industry,"
neither,The patient could learn to be more aware of his or her body and to treat it more healthily.,and conventional medicine will also hardly suffer.
