relationType,argSrc,argTrg
neither,"Some may find the idea of a school uniform anachronistic,",or regard it as too much of an intervention into the leeway of students and parents to make decisions.
neither,"Some may find the idea of a school uniform anachronistic,","Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments."
attack,"Some may find the idea of a school uniform anachronistic,","A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power."
neither,or regard it as too much of an intervention into the leeway of students and parents to make decisions.,"Some may find the idea of a school uniform anachronistic,"
neither,or regard it as too much of an intervention into the leeway of students and parents to make decisions.,"Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments."
attack,or regard it as too much of an intervention into the leeway of students and parents to make decisions.,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power."
neither,"Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments.","Some may find the idea of a school uniform anachronistic,"
attack,"Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments.",or regard it as too much of an intervention into the leeway of students and parents to make decisions.
neither,"Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments.","A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power."
neither,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power.","Some may find the idea of a school uniform anachronistic,"
neither,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power.",or regard it as too much of an intervention into the leeway of students and parents to make decisions.
neither,"A simply designed practical outfit would even out the overall visual image of a school, and direct attention towards the character and achievements of the students - and not their buying power.","Indeed, however, it's already the case today that students of apparently 'uniform-free' schools are essentially wearing a uniform consisting of certain brand-name garments."
