relationType,argSrc,argTrg
neither,Rent prices should be limited by a cap when there's a change of tenant.,"Landlords may want to earn as much as possible,"
neither,Rent prices should be limited by a cap when there's a change of tenant.,"and many, consistent with market principles, are prepared to pay higher rents,"
neither,Rent prices should be limited by a cap when there's a change of tenant.,but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.
neither,Rent prices should be limited by a cap when there's a change of tenant.,Gentrification destroys entire districts and their culture.
attack,"Landlords may want to earn as much as possible,",Rent prices should be limited by a cap when there's a change of tenant.
neither,"Landlords may want to earn as much as possible,","and many, consistent with market principles, are prepared to pay higher rents,"
neither,"Landlords may want to earn as much as possible,",but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.
neither,"Landlords may want to earn as much as possible,",Gentrification destroys entire districts and their culture.
attack,"and many, consistent with market principles, are prepared to pay higher rents,",Rent prices should be limited by a cap when there's a change of tenant.
neither,"and many, consistent with market principles, are prepared to pay higher rents,","Landlords may want to earn as much as possible,"
neither,"and many, consistent with market principles, are prepared to pay higher rents,",but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.
neither,"and many, consistent with market principles, are prepared to pay higher rents,",Gentrification destroys entire districts and their culture.
support,but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.,Rent prices should be limited by a cap when there's a change of tenant.
neither,but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.,"Landlords may want to earn as much as possible,"
neither,but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.,"and many, consistent with market principles, are prepared to pay higher rents,"
neither,but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.,Gentrification destroys entire districts and their culture.
support,Gentrification destroys entire districts and their culture.,Rent prices should be limited by a cap when there's a change of tenant.
neither,Gentrification destroys entire districts and their culture.,"Landlords may want to earn as much as possible,"
neither,Gentrification destroys entire districts and their culture.,"and many, consistent with market principles, are prepared to pay higher rents,"
neither,Gentrification destroys entire districts and their culture.,but that people with the same income suddenly must pay more and can't live in the same flat anymore seems implausible.
