relationType,argSrc,argTrg
support,Despite the death penalty there are significantly more homicides in the US than in Germany.,Fear of punishment hence does not deter murderers.
neither,Despite the death penalty there are significantly more homicides in the US than in Germany.,'An eye for an eye' seems to miss the point.
neither,Despite the death penalty there are significantly more homicides in the US than in Germany.,The state ought to prevent murder - not avenge it.
neither,Despite the death penalty there are significantly more homicides in the US than in Germany.,A re-introduction of capital punishment in Germany would be a step back into the Middle Ages.
neither,Fear of punishment hence does not deter murderers.,Despite the death penalty there are significantly more homicides in the US than in Germany.
support,Fear of punishment hence does not deter murderers.,'An eye for an eye' seems to miss the point.
neither,Fear of punishment hence does not deter murderers.,The state ought to prevent murder - not avenge it.
neither,Fear of punishment hence does not deter murderers.,A re-introduction of capital punishment in Germany would be a step back into the Middle Ages.
neither,'An eye for an eye' seems to miss the point.,Despite the death penalty there are significantly more homicides in the US than in Germany.
neither,'An eye for an eye' seems to miss the point.,Fear of punishment hence does not deter murderers.
support,'An eye for an eye' seems to miss the point.,The state ought to prevent murder - not avenge it.
neither,'An eye for an eye' seems to miss the point.,A re-introduction of capital punishment in Germany would be a step back into the Middle Ages.
neither,The state ought to prevent murder - not avenge it.,Despite the death penalty there are significantly more homicides in the US than in Germany.
neither,The state ought to prevent murder - not avenge it.,Fear of punishment hence does not deter murderers.
neither,The state ought to prevent murder - not avenge it.,'An eye for an eye' seems to miss the point.
neither,The state ought to prevent murder - not avenge it.,A re-introduction of capital punishment in Germany would be a step back into the Middle Ages.
neither,A re-introduction of capital punishment in Germany would be a step back into the Middle Ages.,Despite the death penalty there are significantly more homicides in the US than in Germany.
neither,A re-introduction of capital punishment in Germany would be a step back into the Middle Ages.,Fear of punishment hence does not deter murderers.
neither,A re-introduction of capital punishment in Germany would be a step back into the Middle Ages.,'An eye for an eye' seems to miss the point.
support,A re-introduction of capital punishment in Germany would be a step back into the Middle Ages.,The state ought to prevent murder - not avenge it.
