relationType,argSrc,argTrg
support,"Being a pharmacist myself,",I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.
neither,"Being a pharmacist myself,",From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.
neither,"Being a pharmacist myself,","Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies."
neither,"Being a pharmacist myself,",Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.
neither,"Being a pharmacist myself,","However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors."
neither,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.,"Being a pharmacist myself,"
neither,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.,From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.
neither,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.,"Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies."
neither,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.,Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.
neither,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.,"However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors."
neither,From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.,"Being a pharmacist myself,"
support,From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.
neither,From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.,"Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies."
neither,From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.,Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.
neither,From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.,"However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors."
neither,"Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies.","Being a pharmacist myself,"
support,"Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies.",I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.
neither,"Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies.",From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.
neither,"Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies.",Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.
neither,"Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies.","However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors."
neither,Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.,"Being a pharmacist myself,"
attack,Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.,I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.
neither,Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.,From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.
neither,Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.,"Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies."
neither,Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.,"However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors."
neither,"However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors.","Being a pharmacist myself,"
neither,"However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors.",I argue categorically in favour of over-the-counter availability of the morning-after pill in pharmacies.
neither,"However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors.",From a medical perspective the morning-after pill works best when taken as soon as possible after intercourse.
neither,"However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors.","Always having to visit the doctor first (including travel and waiting time, possible embarrassment, etc.) leads to more unwanted pregnancies."
attack,"However, the fact is that we pharmacists are legally required to inform the patients and possess the same subject matter expertise as doctors.",Many opponents of the pill point out that this does away with the consultation at the doctor's and many women take it unnecessarily.
