relationType,argSrc,argTrg
neither,The prototype of Audi's new sports car has car lovers raving.,"The steering system may still need a bit of tweaking,"
neither,The prototype of Audi's new sports car has car lovers raving.,"as the car jack-knifes at higher speeds,"
neither,The prototype of Audi's new sports car has car lovers raving.,and surely you'll want to be speeding a lot with that beauty.
neither,The prototype of Audi's new sports car has car lovers raving.,But aside from that the car caters to pretty much every wish.
attack,"The steering system may still need a bit of tweaking,",The prototype of Audi's new sports car has car lovers raving.
neither,"The steering system may still need a bit of tweaking,","as the car jack-knifes at higher speeds,"
neither,"The steering system may still need a bit of tweaking,",and surely you'll want to be speeding a lot with that beauty.
neither,"The steering system may still need a bit of tweaking,",But aside from that the car caters to pretty much every wish.
neither,"as the car jack-knifes at higher speeds,",The prototype of Audi's new sports car has car lovers raving.
support,"as the car jack-knifes at higher speeds,","The steering system may still need a bit of tweaking,"
neither,"as the car jack-knifes at higher speeds,",and surely you'll want to be speeding a lot with that beauty.
neither,"as the car jack-knifes at higher speeds,",But aside from that the car caters to pretty much every wish.
neither,and surely you'll want to be speeding a lot with that beauty.,The prototype of Audi's new sports car has car lovers raving.
support,and surely you'll want to be speeding a lot with that beauty.,"The steering system may still need a bit of tweaking,"
neither,and surely you'll want to be speeding a lot with that beauty.,"as the car jack-knifes at higher speeds,"
neither,and surely you'll want to be speeding a lot with that beauty.,But aside from that the car caters to pretty much every wish.
support,But aside from that the car caters to pretty much every wish.,The prototype of Audi's new sports car has car lovers raving.
neither,But aside from that the car caters to pretty much every wish.,"The steering system may still need a bit of tweaking,"
neither,But aside from that the car caters to pretty much every wish.,"as the car jack-knifes at higher speeds,"
neither,But aside from that the car caters to pretty much every wish.,and surely you'll want to be speeding a lot with that beauty.
