relationType,argSrc,argTrg
neither,School uniforms should be introduced in our schools again.,"This provides an at least superficial equalization in our heavily economically oriented society,"
neither,School uniforms should be introduced in our schools again.,which may reduce discrimination of financially and/or socially disadvantaged children.
neither,School uniforms should be introduced in our schools again.,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
neither,School uniforms should be introduced in our schools again.,Uniforms always and immediately provoke fear of losing one's individuality
neither,School uniforms should be introduced in our schools again.,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance."
neither,"This provides an at least superficial equalization in our heavily economically oriented society,",School uniforms should be introduced in our schools again.
support,"This provides an at least superficial equalization in our heavily economically oriented society,",which may reduce discrimination of financially and/or socially disadvantaged children.
neither,"This provides an at least superficial equalization in our heavily economically oriented society,","Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
neither,"This provides an at least superficial equalization in our heavily economically oriented society,",Uniforms always and immediately provoke fear of losing one's individuality
neither,"This provides an at least superficial equalization in our heavily economically oriented society,","but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance."
support,which may reduce discrimination of financially and/or socially disadvantaged children.,School uniforms should be introduced in our schools again.
neither,which may reduce discrimination of financially and/or socially disadvantaged children.,"This provides an at least superficial equalization in our heavily economically oriented society,"
neither,which may reduce discrimination of financially and/or socially disadvantaged children.,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
neither,which may reduce discrimination of financially and/or socially disadvantaged children.,Uniforms always and immediately provoke fear of losing one's individuality
neither,which may reduce discrimination of financially and/or socially disadvantaged children.,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance."
support,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",School uniforms should be introduced in our schools again.
neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.","This provides an at least superficial equalization in our heavily economically oriented society,"
neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",which may reduce discrimination of financially and/or socially disadvantaged children.
neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.",Uniforms always and immediately provoke fear of losing one's individuality
neither,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school.","but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance."
attack,Uniforms always and immediately provoke fear of losing one's individuality,School uniforms should be introduced in our schools again.
neither,Uniforms always and immediately provoke fear of losing one's individuality,"This provides an at least superficial equalization in our heavily economically oriented society,"
neither,Uniforms always and immediately provoke fear of losing one's individuality,which may reduce discrimination of financially and/or socially disadvantaged children.
neither,Uniforms always and immediately provoke fear of losing one's individuality,"Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
neither,Uniforms always and immediately provoke fear of losing one's individuality,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance."
neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",School uniforms should be introduced in our schools again.
neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.","This provides an at least superficial equalization in our heavily economically oriented society,"
neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",which may reduce discrimination of financially and/or socially disadvantaged children.
neither,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.","Furthermore, it would facilitate the finding of truants, who may wish to get away with fewer classes at school."
attack,"but what's really lacking in schools today is rather a real sense of community, which would possibly be strengthened by an equal, collective appearance.",Uniforms always and immediately provoke fear of losing one's individuality
