relationType,argSrc,argTrg
neither,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,This may be a change for the employees that cannot to be implemented easily.
neither,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week."
neither,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete."
neither,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers."
attack,This may be a change for the employees that cannot to be implemented easily.,Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.
neither,This may be a change for the employees that cannot to be implemented easily.,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week."
neither,This may be a change for the employees that cannot to be implemented easily.,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete."
neither,This may be a change for the employees that cannot to be implemented easily.,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers."
neither,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.",Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.
attack,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.",This may be a change for the employees that cannot to be implemented easily.
neither,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.","Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete."
neither,"However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week.","Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers."
support,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.",Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.
neither,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.",This may be a change for the employees that cannot to be implemented easily.
neither,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.","However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week."
neither,"Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete.","Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers."
neither,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.",Supermarkets and shopping centres should be allowed to open on any Sundays and holidays.
neither,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.",This may be a change for the employees that cannot to be implemented easily.
neither,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.","However, especially for working customers this would mean greater flexibility and fewer nerve-racking peak times during the week."
support,"Many European countries, for instance the Netherlands, Sweden and Great Britain, have already understood this and successfully adjusted the opening hours for retailers.","Considering the growing digitization of society, the traditional model of the weekend will soon be obsolete."
