relationType,argSrc,argTrg
neither,No human being or human committee should again be given the permission to rule over 'life or death'.,Courts are also subject to human error.
support,No human being or human committee should again be given the permission to rule over 'life or death'.,That's why Germany should not introduce capital punishment!
neither,No human being or human committee should again be given the permission to rule over 'life or death'.,"Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion."
neither,No human being or human committee should again be given the permission to rule over 'life or death'.,A door must remain open for making amends.
neither,Courts are also subject to human error.,No human being or human committee should again be given the permission to rule over 'life or death'.
support,Courts are also subject to human error.,That's why Germany should not introduce capital punishment!
neither,Courts are also subject to human error.,"Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion."
neither,Courts are also subject to human error.,A door must remain open for making amends.
neither,That's why Germany should not introduce capital punishment!,No human being or human committee should again be given the permission to rule over 'life or death'.
neither,That's why Germany should not introduce capital punishment!,Courts are also subject to human error.
neither,That's why Germany should not introduce capital punishment!,"Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion."
neither,That's why Germany should not introduce capital punishment!,A door must remain open for making amends.
neither,"Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion.",No human being or human committee should again be given the permission to rule over 'life or death'.
neither,"Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion.",Courts are also subject to human error.
neither,"Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion.",That's why Germany should not introduce capital punishment!
support,"Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion.",A door must remain open for making amends.
neither,A door must remain open for making amends.,No human being or human committee should again be given the permission to rule over 'life or death'.
neither,A door must remain open for making amends.,Courts are also subject to human error.
support,A door must remain open for making amends.,That's why Germany should not introduce capital punishment!
neither,A door must remain open for making amends.,"Every human, even those who have committed a despicable crime, can bring themselves to regret and change their opinion."
