relationType,argSrc,argTrg
neither,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment."
neither,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,"Even if one might think that additional rent control is needed besides the current tenant protection,"
neither,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,one should not deny longstanding owners the opportunity to adjust their returns to market level.
support,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.,A cap on rent increases upon tenant change is therefore not to be supported.
neither,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.",Rent prices are already regulated in favour of tenants due to existing laws and the rent index.
neither,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.","Even if one might think that additional rent control is needed besides the current tenant protection,"
neither,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.",one should not deny longstanding owners the opportunity to adjust their returns to market level.
support,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment.",A cap on rent increases upon tenant change is therefore not to be supported.
neither,"Even if one might think that additional rent control is needed besides the current tenant protection,",Rent prices are already regulated in favour of tenants due to existing laws and the rent index.
neither,"Even if one might think that additional rent control is needed besides the current tenant protection,","In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment."
neither,"Even if one might think that additional rent control is needed besides the current tenant protection,",one should not deny longstanding owners the opportunity to adjust their returns to market level.
attack,"Even if one might think that additional rent control is needed besides the current tenant protection,",A cap on rent increases upon tenant change is therefore not to be supported.
neither,one should not deny longstanding owners the opportunity to adjust their returns to market level.,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.
neither,one should not deny longstanding owners the opportunity to adjust their returns to market level.,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment."
attack,one should not deny longstanding owners the opportunity to adjust their returns to market level.,"Even if one might think that additional rent control is needed besides the current tenant protection,"
neither,one should not deny longstanding owners the opportunity to adjust their returns to market level.,A cap on rent increases upon tenant change is therefore not to be supported.
neither,A cap on rent increases upon tenant change is therefore not to be supported.,Rent prices are already regulated in favour of tenants due to existing laws and the rent index.
neither,A cap on rent increases upon tenant change is therefore not to be supported.,"In view of the high prices for buying flats with existing rent contracts, these are an unattractive investment."
neither,A cap on rent increases upon tenant change is therefore not to be supported.,"Even if one might think that additional rent control is needed besides the current tenant protection,"
neither,A cap on rent increases upon tenant change is therefore not to be supported.,one should not deny longstanding owners the opportunity to adjust their returns to market level.
