relationType,argSrc,argTrg
neither,"Capital punishment is not a solution,",as it cannot be ruled out that the judicial process may make mistakes.
neither,"Capital punishment is not a solution,","Criminals should not be put in luxury prisons, though."
neither,"Capital punishment is not a solution,","After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work."
attack,"Capital punishment is not a solution,","Still, the state needs the death penalty as a deterrent to horrific crimes."
support,as it cannot be ruled out that the judicial process may make mistakes.,"Capital punishment is not a solution,"
neither,as it cannot be ruled out that the judicial process may make mistakes.,"Criminals should not be put in luxury prisons, though."
neither,as it cannot be ruled out that the judicial process may make mistakes.,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work."
neither,as it cannot be ruled out that the judicial process may make mistakes.,"Still, the state needs the death penalty as a deterrent to horrific crimes."
neither,"Criminals should not be put in luxury prisons, though.","Capital punishment is not a solution,"
neither,"Criminals should not be put in luxury prisons, though.",as it cannot be ruled out that the judicial process may make mistakes.
neither,"Criminals should not be put in luxury prisons, though.","After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work."
support,"Criminals should not be put in luxury prisons, though.","Still, the state needs the death penalty as a deterrent to horrific crimes."
neither,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.","Capital punishment is not a solution,"
neither,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.",as it cannot be ruled out that the judicial process may make mistakes.
support,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.","Criminals should not be put in luxury prisons, though."
neither,"After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work.","Still, the state needs the death penalty as a deterrent to horrific crimes."
neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.","Capital punishment is not a solution,"
neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.",as it cannot be ruled out that the judicial process may make mistakes.
neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.","Criminals should not be put in luxury prisons, though."
neither,"Still, the state needs the death penalty as a deterrent to horrific crimes.","After all there are criminals who enjoy 'living' in prison for its decent board, no taxes to be paid, no stress with work."
