relationType,argSrc,argTrg
neither,"Large events that stir national or even international attention attract many visitors,",and nothing will get Berlin out of its financial jam more than a lot of spending visitors.
support,"Large events that stir national or even international attention attract many visitors,",Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.
neither,"Large events that stir national or even international attention attract many visitors,","Of course a higher federal subsidy would be even better for Berlin's coffers,"
neither,"Large events that stir national or even international attention attract many visitors,",but you shouldn't bother hoping for that.
neither,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.,"Large events that stir national or even international attention attract many visitors,"
support,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.
neither,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.,"Of course a higher federal subsidy would be even better for Berlin's coffers,"
neither,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.,but you shouldn't bother hoping for that.
neither,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,"Large events that stir national or even international attention attract many visitors,"
neither,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.
neither,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,"Of course a higher federal subsidy would be even better for Berlin's coffers,"
neither,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.,but you shouldn't bother hoping for that.
neither,"Of course a higher federal subsidy would be even better for Berlin's coffers,","Large events that stir national or even international attention attract many visitors,"
attack,"Of course a higher federal subsidy would be even better for Berlin's coffers,",and nothing will get Berlin out of its financial jam more than a lot of spending visitors.
neither,"Of course a higher federal subsidy would be even better for Berlin's coffers,",Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.
neither,"Of course a higher federal subsidy would be even better for Berlin's coffers,",but you shouldn't bother hoping for that.
neither,but you shouldn't bother hoping for that.,"Large events that stir national or even international attention attract many visitors,"
neither,but you shouldn't bother hoping for that.,and nothing will get Berlin out of its financial jam more than a lot of spending visitors.
neither,but you shouldn't bother hoping for that.,Hence the Mayor of Berlin ought to keep the hurdles for organizing such events as low as possible.
attack,but you shouldn't bother hoping for that.,"Of course a higher federal subsidy would be even better for Berlin's coffers,"
