relationType,argSrc,argTrg
neither,"Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves.",Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?
neither,"Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves.","Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons."
attack,"Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves.","Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63."
neither,Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?,"Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves."
neither,Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?,"Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons."
support,Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63."
neither,"Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons.","Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves."
neither,"Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons.",Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?
support,"Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons.","Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63."
neither,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.","Retirement at 63, that's something everyone who has toiled away (nonstop) up to this point surely deserves."
neither,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.",Only the question remains whether this early 'leisure' will be nicer if you have no idea what do to all day and you statistically still have almost 20 (!!!) years to go?
neither,"Especially now, as there is a lack of skilled labour, it's irresponsible for the economy and prosperity to retire at 63.","Also, one isn't taking responsibility for society if one gives up one's experienced, healthy and highly qualified capabilities earlier than necessary for private/personal reasons."
