relationType,argSrc,argTrg
neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,"Besides, intelligence services intervene massively in the privacy of citizens"
neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,and must therefore be monitored more closely to prevent abuse.
neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,Parliamentary control however hampers the work of intelligence services
neither,Secret services must be more tightly regulated in order to prevent excessive surveillance.,for it jeopardizes the secrecy and security of confidential data and informants.
support,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",Secret services must be more tightly regulated in order to prevent excessive surveillance.
neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.","Besides, intelligence services intervene massively in the privacy of citizens"
neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",and must therefore be monitored more closely to prevent abuse.
neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",Parliamentary control however hampers the work of intelligence services
neither,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states.",for it jeopardizes the secrecy and security of confidential data and informants.
support,"Besides, intelligence services intervene massively in the privacy of citizens",Secret services must be more tightly regulated in order to prevent excessive surveillance.
neither,"Besides, intelligence services intervene massively in the privacy of citizens","After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
neither,"Besides, intelligence services intervene massively in the privacy of citizens",and must therefore be monitored more closely to prevent abuse.
neither,"Besides, intelligence services intervene massively in the privacy of citizens",Parliamentary control however hampers the work of intelligence services
neither,"Besides, intelligence services intervene massively in the privacy of citizens",for it jeopardizes the secrecy and security of confidential data and informants.
support,and must therefore be monitored more closely to prevent abuse.,Secret services must be more tightly regulated in order to prevent excessive surveillance.
neither,and must therefore be monitored more closely to prevent abuse.,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
neither,and must therefore be monitored more closely to prevent abuse.,"Besides, intelligence services intervene massively in the privacy of citizens"
neither,and must therefore be monitored more closely to prevent abuse.,Parliamentary control however hampers the work of intelligence services
neither,and must therefore be monitored more closely to prevent abuse.,for it jeopardizes the secrecy and security of confidential data and informants.
attack,Parliamentary control however hampers the work of intelligence services,Secret services must be more tightly regulated in order to prevent excessive surveillance.
neither,Parliamentary control however hampers the work of intelligence services,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
neither,Parliamentary control however hampers the work of intelligence services,"Besides, intelligence services intervene massively in the privacy of citizens"
neither,Parliamentary control however hampers the work of intelligence services,and must therefore be monitored more closely to prevent abuse.
neither,Parliamentary control however hampers the work of intelligence services,for it jeopardizes the secrecy and security of confidential data and informants.
neither,for it jeopardizes the secrecy and security of confidential data and informants.,Secret services must be more tightly regulated in order to prevent excessive surveillance.
neither,for it jeopardizes the secrecy and security of confidential data and informants.,"After all, secret services tend to develop a life of their own (a state within a state), which would be irresponsible for democratic states."
neither,for it jeopardizes the secrecy and security of confidential data and informants.,"Besides, intelligence services intervene massively in the privacy of citizens"
neither,for it jeopardizes the secrecy and security of confidential data and informants.,and must therefore be monitored more closely to prevent abuse.
support,for it jeopardizes the secrecy and security of confidential data and informants.,Parliamentary control however hampers the work of intelligence services
