relationType,argSrc,argTrg
neither,The death penalty is a legal means that as such is not practicable in Germany.,"For one thing, inviolable human dignity is anchored in our constitution,"
neither,The death penalty is a legal means that as such is not practicable in Germany.,and furthermore no one may have the right to adjudicate upon the death of another human being.
neither,The death penalty is a legal means that as such is not practicable in Germany.,"Even if many people think that a murderer has already decided on the life or death of another person,"
neither,The death penalty is a legal means that as such is not practicable in Germany.,this is precisely the crime that we should not repay with the same.
support,"For one thing, inviolable human dignity is anchored in our constitution,",The death penalty is a legal means that as such is not practicable in Germany.
neither,"For one thing, inviolable human dignity is anchored in our constitution,",and furthermore no one may have the right to adjudicate upon the death of another human being.
neither,"For one thing, inviolable human dignity is anchored in our constitution,","Even if many people think that a murderer has already decided on the life or death of another person,"
neither,"For one thing, inviolable human dignity is anchored in our constitution,",this is precisely the crime that we should not repay with the same.
support,and furthermore no one may have the right to adjudicate upon the death of another human being.,The death penalty is a legal means that as such is not practicable in Germany.
neither,and furthermore no one may have the right to adjudicate upon the death of another human being.,"For one thing, inviolable human dignity is anchored in our constitution,"
neither,and furthermore no one may have the right to adjudicate upon the death of another human being.,"Even if many people think that a murderer has already decided on the life or death of another person,"
neither,and furthermore no one may have the right to adjudicate upon the death of another human being.,this is precisely the crime that we should not repay with the same.
attack,"Even if many people think that a murderer has already decided on the life or death of another person,",The death penalty is a legal means that as such is not practicable in Germany.
neither,"Even if many people think that a murderer has already decided on the life or death of another person,","For one thing, inviolable human dignity is anchored in our constitution,"
neither,"Even if many people think that a murderer has already decided on the life or death of another person,",and furthermore no one may have the right to adjudicate upon the death of another human being.
neither,"Even if many people think that a murderer has already decided on the life or death of another person,",this is precisely the crime that we should not repay with the same.
neither,this is precisely the crime that we should not repay with the same.,The death penalty is a legal means that as such is not practicable in Germany.
neither,this is precisely the crime that we should not repay with the same.,"For one thing, inviolable human dignity is anchored in our constitution,"
neither,this is precisely the crime that we should not repay with the same.,and furthermore no one may have the right to adjudicate upon the death of another human being.
attack,this is precisely the crime that we should not repay with the same.,"Even if many people think that a murderer has already decided on the life or death of another person,"
