relationType,argSrc,argTrg
neither,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,"For in this way, Sunday shopping days would be better spread out through the year."
neither,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,Also streets and shops would presumably be emptier
neither,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,as not everyone would be open on the same day.
neither,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.,However then you'd have a worse overview of which shop is open on a given day.
support,"For in this way, Sunday shopping days would be better spread out through the year.",Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.
neither,"For in this way, Sunday shopping days would be better spread out through the year.",Also streets and shops would presumably be emptier
neither,"For in this way, Sunday shopping days would be better spread out through the year.",as not everyone would be open on the same day.
neither,"For in this way, Sunday shopping days would be better spread out through the year.",However then you'd have a worse overview of which shop is open on a given day.
support,Also streets and shops would presumably be emptier,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.
neither,Also streets and shops would presumably be emptier,"For in this way, Sunday shopping days would be better spread out through the year."
neither,Also streets and shops would presumably be emptier,as not everyone would be open on the same day.
neither,Also streets and shops would presumably be emptier,However then you'd have a worse overview of which shop is open on a given day.
neither,as not everyone would be open on the same day.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.
neither,as not everyone would be open on the same day.,"For in this way, Sunday shopping days would be better spread out through the year."
support,as not everyone would be open on the same day.,Also streets and shops would presumably be emptier
neither,as not everyone would be open on the same day.,However then you'd have a worse overview of which shop is open on a given day.
attack,However then you'd have a worse overview of which shop is open on a given day.,Supermarkets and shopping centres should be allowed to open any Sundays and holidays at their discretion.
neither,However then you'd have a worse overview of which shop is open on a given day.,"For in this way, Sunday shopping days would be better spread out through the year."
neither,However then you'd have a worse overview of which shop is open on a given day.,Also streets and shops would presumably be emptier
neither,However then you'd have a worse overview of which shop is open on a given day.,as not everyone would be open on the same day.
