relationType,argSrc,argTrg
neither,It is quite clear that Sunday should remain a day of rest.,"For you can go shopping 6 days a week,"
neither,It is quite clear that Sunday should remain a day of rest.,as shops are open till 10pm on some days.
neither,It is quite clear that Sunday should remain a day of rest.,"Thus Sundays should remain a day for getting together with family,"
neither,It is quite clear that Sunday should remain a day of rest.,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.
neither,It is quite clear that Sunday should remain a day of rest.,"Furthermore, there's no need to keep shops open on Sundays."
support,"For you can go shopping 6 days a week,",It is quite clear that Sunday should remain a day of rest.
neither,"For you can go shopping 6 days a week,",as shops are open till 10pm on some days.
neither,"For you can go shopping 6 days a week,","Thus Sundays should remain a day for getting together with family,"
neither,"For you can go shopping 6 days a week,",otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.
neither,"For you can go shopping 6 days a week,","Furthermore, there's no need to keep shops open on Sundays."
neither,as shops are open till 10pm on some days.,It is quite clear that Sunday should remain a day of rest.
support,as shops are open till 10pm on some days.,"For you can go shopping 6 days a week,"
neither,as shops are open till 10pm on some days.,"Thus Sundays should remain a day for getting together with family,"
neither,as shops are open till 10pm on some days.,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.
neither,as shops are open till 10pm on some days.,"Furthermore, there's no need to keep shops open on Sundays."
support,"Thus Sundays should remain a day for getting together with family,",It is quite clear that Sunday should remain a day of rest.
neither,"Thus Sundays should remain a day for getting together with family,","For you can go shopping 6 days a week,"
neither,"Thus Sundays should remain a day for getting together with family,",as shops are open till 10pm on some days.
neither,"Thus Sundays should remain a day for getting together with family,",otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.
neither,"Thus Sundays should remain a day for getting together with family,","Furthermore, there's no need to keep shops open on Sundays."
neither,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,It is quite clear that Sunday should remain a day of rest.
neither,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,"For you can go shopping 6 days a week,"
neither,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,as shops are open till 10pm on some days.
support,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,"Thus Sundays should remain a day for getting together with family,"
neither,otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.,"Furthermore, there's no need to keep shops open on Sundays."
support,"Furthermore, there's no need to keep shops open on Sundays.",It is quite clear that Sunday should remain a day of rest.
neither,"Furthermore, there's no need to keep shops open on Sundays.","For you can go shopping 6 days a week,"
neither,"Furthermore, there's no need to keep shops open on Sundays.",as shops are open till 10pm on some days.
neither,"Furthermore, there's no need to keep shops open on Sundays.","Thus Sundays should remain a day for getting together with family,"
neither,"Furthermore, there's no need to keep shops open on Sundays.",otherwise there will be a new kind of leisure activity where people spend their time in supermarkets instead of outside or in conversation etc.
