relationType,argSrc,argTrg
neither,A violation of international law should be more than enough to consider a reaction!,"Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war."
neither,A violation of international law should be more than enough to consider a reaction!,"It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,"
neither,A violation of international law should be more than enough to consider a reaction!,"as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure."
neither,A violation of international law should be more than enough to consider a reaction!,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,"
support,A violation of international law should be more than enough to consider a reaction!,the EU should intervene right away.
neither,"Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war.",A violation of international law should be more than enough to consider a reaction!
neither,"Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war.","It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,"
neither,"Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war.","as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure."
neither,"Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war.","Since, however, in Russia besides gas and oil only propaganda and corruption rule,"
support,"Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war.",the EU should intervene right away.
neither,"It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,",A violation of international law should be more than enough to consider a reaction!
neither,"It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,","Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war."
neither,"It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,","as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure."
neither,"It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,","Since, however, in Russia besides gas and oil only propaganda and corruption rule,"
attack,"It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,",the EU should intervene right away.
neither,"as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure.",A violation of international law should be more than enough to consider a reaction!
neither,"as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure.","Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war."
attack,"as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure.","It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,"
neither,"as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure.","Since, however, in Russia besides gas and oil only propaganda and corruption rule,"
neither,"as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure.",the EU should intervene right away.
neither,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,",A violation of international law should be more than enough to consider a reaction!
neither,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,","Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war."
neither,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,","It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,"
support,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,","as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure."
neither,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,",the EU should intervene right away.
neither,the EU should intervene right away.,A violation of international law should be more than enough to consider a reaction!
neither,the EU should intervene right away.,"Humanity has made enough mistakes throughout history by waiting too long, and when it has finally reacted, the only remaining option has usually been war."
neither,the EU should intervene right away.,"It's to be noted that in our civilized world, in a democratic country, the people can determine their own fate,"
neither,the EU should intervene right away.,"as long as the motivation of those people isn't triggered by propaganda, corruption and military pressure."
neither,the EU should intervene right away.,"Since, however, in Russia besides gas and oil only propaganda and corruption rule,"
