relationType,argSrc,argTrg
neither,"The implementation of retirement at 63 is no longer socially sustainable,","as the population in Germany has, viewed demographically, a disproportionate number of old people,"
neither,"The implementation of retirement at 63 is no longer socially sustainable,",and constantly declining birth rates are being recorded.
neither,"The implementation of retirement at 63 is no longer socially sustainable,","Admittedly the number of immigrants is constantly rising in Germany,"
neither,"The implementation of retirement at 63 is no longer socially sustainable,","but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing."
support,"as the population in Germany has, viewed demographically, a disproportionate number of old people,","The implementation of retirement at 63 is no longer socially sustainable,"
neither,"as the population in Germany has, viewed demographically, a disproportionate number of old people,",and constantly declining birth rates are being recorded.
neither,"as the population in Germany has, viewed demographically, a disproportionate number of old people,","Admittedly the number of immigrants is constantly rising in Germany,"
neither,"as the population in Germany has, viewed demographically, a disproportionate number of old people,","but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing."
support,and constantly declining birth rates are being recorded.,"The implementation of retirement at 63 is no longer socially sustainable,"
neither,and constantly declining birth rates are being recorded.,"as the population in Germany has, viewed demographically, a disproportionate number of old people,"
neither,and constantly declining birth rates are being recorded.,"Admittedly the number of immigrants is constantly rising in Germany,"
neither,and constantly declining birth rates are being recorded.,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing."
attack,"Admittedly the number of immigrants is constantly rising in Germany,","The implementation of retirement at 63 is no longer socially sustainable,"
neither,"Admittedly the number of immigrants is constantly rising in Germany,","as the population in Germany has, viewed demographically, a disproportionate number of old people,"
neither,"Admittedly the number of immigrants is constantly rising in Germany,",and constantly declining birth rates are being recorded.
neither,"Admittedly the number of immigrants is constantly rising in Germany,","but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing."
neither,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.","The implementation of retirement at 63 is no longer socially sustainable,"
neither,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.","as the population in Germany has, viewed demographically, a disproportionate number of old people,"
neither,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.",and constantly declining birth rates are being recorded.
attack,"but without sufficient, well-qualified junior employees there is hardly a possibility for adequate pension financing.","Admittedly the number of immigrants is constantly rising in Germany,"
