relationType,argSrc,argTrg
neither,Tuition fees should not be charged in Germany.,Studying and taking higher degrees must remain a basic right for everyone.
neither,Tuition fees should not be charged in Germany.,Fees result in longer durations of studies.
neither,Tuition fees should not be charged in Germany.,That's costly!
support,Studying and taking higher degrees must remain a basic right for everyone.,Tuition fees should not be charged in Germany.
neither,Studying and taking higher degrees must remain a basic right for everyone.,Fees result in longer durations of studies.
neither,Studying and taking higher degrees must remain a basic right for everyone.,That's costly!
neither,Fees result in longer durations of studies.,Tuition fees should not be charged in Germany.
neither,Fees result in longer durations of studies.,Studying and taking higher degrees must remain a basic right for everyone.
support,Fees result in longer durations of studies.,That's costly!
support,That's costly!,Tuition fees should not be charged in Germany.
neither,That's costly!,Studying and taking higher degrees must remain a basic right for everyone.
neither,That's costly!,Fees result in longer durations of studies.
