relationType,argSrc,argTrg
neither,The universities in Germany should not under any circumstances charge tuition fees.,This would impede or prevent access to those who are financially weaker.
neither,The universities in Germany should not under any circumstances charge tuition fees.,The anticipated objectives of tuition fees can be achieved by other means.
neither,The universities in Germany should not under any circumstances charge tuition fees.,There are other instruments to motivate tighter discipline while studying.
neither,The universities in Germany should not under any circumstances charge tuition fees.,And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.
support,This would impede or prevent access to those who are financially weaker.,The universities in Germany should not under any circumstances charge tuition fees.
neither,This would impede or prevent access to those who are financially weaker.,The anticipated objectives of tuition fees can be achieved by other means.
neither,This would impede or prevent access to those who are financially weaker.,There are other instruments to motivate tighter discipline while studying.
neither,This would impede or prevent access to those who are financially weaker.,And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.
support,The anticipated objectives of tuition fees can be achieved by other means.,The universities in Germany should not under any circumstances charge tuition fees.
neither,The anticipated objectives of tuition fees can be achieved by other means.,This would impede or prevent access to those who are financially weaker.
neither,The anticipated objectives of tuition fees can be achieved by other means.,There are other instruments to motivate tighter discipline while studying.
neither,The anticipated objectives of tuition fees can be achieved by other means.,And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.
neither,There are other instruments to motivate tighter discipline while studying.,The universities in Germany should not under any circumstances charge tuition fees.
neither,There are other instruments to motivate tighter discipline while studying.,This would impede or prevent access to those who are financially weaker.
support,There are other instruments to motivate tighter discipline while studying.,The anticipated objectives of tuition fees can be achieved by other means.
neither,There are other instruments to motivate tighter discipline while studying.,And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.
neither,And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.,The universities in Germany should not under any circumstances charge tuition fees.
neither,And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.,This would impede or prevent access to those who are financially weaker.
support,And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.,The anticipated objectives of tuition fees can be achieved by other means.
neither,And funding-wise it ought to be considered how costs incurred by students from other (federal) states can be reimbursed.,There are other instruments to motivate tighter discipline while studying.
