relationType,argSrc,argTrg
neither,Today I will delete my Facebook account.,Not only because I'm constantly astonished about who wants to be my friend.
neither,Today I will delete my Facebook account.,I'm also tired of my data boosting the market value of that corporation.
neither,Today I will delete my Facebook account.,Facebook warns me emphatically that I may lose contact with my friends.
neither,Today I will delete my Facebook account.,And yet now I'll actually have all the more time for them.
support,Not only because I'm constantly astonished about who wants to be my friend.,Today I will delete my Facebook account.
neither,Not only because I'm constantly astonished about who wants to be my friend.,I'm also tired of my data boosting the market value of that corporation.
neither,Not only because I'm constantly astonished about who wants to be my friend.,Facebook warns me emphatically that I may lose contact with my friends.
neither,Not only because I'm constantly astonished about who wants to be my friend.,And yet now I'll actually have all the more time for them.
support,I'm also tired of my data boosting the market value of that corporation.,Today I will delete my Facebook account.
neither,I'm also tired of my data boosting the market value of that corporation.,Not only because I'm constantly astonished about who wants to be my friend.
neither,I'm also tired of my data boosting the market value of that corporation.,Facebook warns me emphatically that I may lose contact with my friends.
neither,I'm also tired of my data boosting the market value of that corporation.,And yet now I'll actually have all the more time for them.
attack,Facebook warns me emphatically that I may lose contact with my friends.,Today I will delete my Facebook account.
neither,Facebook warns me emphatically that I may lose contact with my friends.,Not only because I'm constantly astonished about who wants to be my friend.
neither,Facebook warns me emphatically that I may lose contact with my friends.,I'm also tired of my data boosting the market value of that corporation.
neither,Facebook warns me emphatically that I may lose contact with my friends.,And yet now I'll actually have all the more time for them.
neither,And yet now I'll actually have all the more time for them.,Today I will delete my Facebook account.
neither,And yet now I'll actually have all the more time for them.,Not only because I'm constantly astonished about who wants to be my friend.
neither,And yet now I'll actually have all the more time for them.,I'm also tired of my data boosting the market value of that corporation.
attack,And yet now I'll actually have all the more time for them.,Facebook warns me emphatically that I may lose contact with my friends.
