relationType,argSrc,argTrg
neither,I am not of the opinion that the retirement age should be set at 63 years.,This would mean that organizations would be lacking a great deal of manpower in the future.
neither,I am not of the opinion that the retirement age should be set at 63 years.,The introductory phase of retirement at 63 would also be a particular challenge
neither,I am not of the opinion that the retirement age should be set at 63 years.,as upon introduction many current employees of advanced age would immediately be eligible to retire.
neither,I am not of the opinion that the retirement age should be set at 63 years.,This is detrimental for Germany as a business location and leaves employers without a transition period.
neither,I am not of the opinion that the retirement age should be set at 63 years.,The danger here is that experienced junior staff is not available in sufficient numbers.
support,This would mean that organizations would be lacking a great deal of manpower in the future.,I am not of the opinion that the retirement age should be set at 63 years.
neither,This would mean that organizations would be lacking a great deal of manpower in the future.,The introductory phase of retirement at 63 would also be a particular challenge
neither,This would mean that organizations would be lacking a great deal of manpower in the future.,as upon introduction many current employees of advanced age would immediately be eligible to retire.
neither,This would mean that organizations would be lacking a great deal of manpower in the future.,This is detrimental for Germany as a business location and leaves employers without a transition period.
neither,This would mean that organizations would be lacking a great deal of manpower in the future.,The danger here is that experienced junior staff is not available in sufficient numbers.
support,The introductory phase of retirement at 63 would also be a particular challenge,I am not of the opinion that the retirement age should be set at 63 years.
neither,The introductory phase of retirement at 63 would also be a particular challenge,This would mean that organizations would be lacking a great deal of manpower in the future.
neither,The introductory phase of retirement at 63 would also be a particular challenge,as upon introduction many current employees of advanced age would immediately be eligible to retire.
neither,The introductory phase of retirement at 63 would also be a particular challenge,This is detrimental for Germany as a business location and leaves employers without a transition period.
neither,The introductory phase of retirement at 63 would also be a particular challenge,The danger here is that experienced junior staff is not available in sufficient numbers.
neither,as upon introduction many current employees of advanced age would immediately be eligible to retire.,I am not of the opinion that the retirement age should be set at 63 years.
neither,as upon introduction many current employees of advanced age would immediately be eligible to retire.,This would mean that organizations would be lacking a great deal of manpower in the future.
support,as upon introduction many current employees of advanced age would immediately be eligible to retire.,The introductory phase of retirement at 63 would also be a particular challenge
neither,as upon introduction many current employees of advanced age would immediately be eligible to retire.,This is detrimental for Germany as a business location and leaves employers without a transition period.
neither,as upon introduction many current employees of advanced age would immediately be eligible to retire.,The danger here is that experienced junior staff is not available in sufficient numbers.
neither,This is detrimental for Germany as a business location and leaves employers without a transition period.,I am not of the opinion that the retirement age should be set at 63 years.
neither,This is detrimental for Germany as a business location and leaves employers without a transition period.,This would mean that organizations would be lacking a great deal of manpower in the future.
support,This is detrimental for Germany as a business location and leaves employers without a transition period.,The introductory phase of retirement at 63 would also be a particular challenge
neither,This is detrimental for Germany as a business location and leaves employers without a transition period.,as upon introduction many current employees of advanced age would immediately be eligible to retire.
neither,This is detrimental for Germany as a business location and leaves employers without a transition period.,The danger here is that experienced junior staff is not available in sufficient numbers.
neither,The danger here is that experienced junior staff is not available in sufficient numbers.,I am not of the opinion that the retirement age should be set at 63 years.
neither,The danger here is that experienced junior staff is not available in sufficient numbers.,This would mean that organizations would be lacking a great deal of manpower in the future.
support,The danger here is that experienced junior staff is not available in sufficient numbers.,The introductory phase of retirement at 63 would also be a particular challenge
neither,The danger here is that experienced junior staff is not available in sufficient numbers.,as upon introduction many current employees of advanced age would immediately be eligible to retire.
neither,The danger here is that experienced junior staff is not available in sufficient numbers.,This is detrimental for Germany as a business location and leaves employers without a transition period.
