relationType,argSrc,argTrg
neither,Pieces of dog poo on the pavements are a real danger.,Time and again children or the elderly slip on them.
neither,Pieces of dog poo on the pavements are a real danger.,"A fine for leaving dog waste behind admittedly seems rather authoritarian,"
neither,Pieces of dog poo on the pavements are a real danger.,"but similar rules are often in place for bicycles on park paths, after all."
support,Pieces of dog poo on the pavements are a real danger.,Increasing penalties is therefore the right way.
neither,Pieces of dog poo on the pavements are a real danger.,A dog dirt-free city will be more attractive not only for its residents but also for tourists!
support,Time and again children or the elderly slip on them.,Pieces of dog poo on the pavements are a real danger.
neither,Time and again children or the elderly slip on them.,"A fine for leaving dog waste behind admittedly seems rather authoritarian,"
neither,Time and again children or the elderly slip on them.,"but similar rules are often in place for bicycles on park paths, after all."
neither,Time and again children or the elderly slip on them.,Increasing penalties is therefore the right way.
neither,Time and again children or the elderly slip on them.,A dog dirt-free city will be more attractive not only for its residents but also for tourists!
neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",Pieces of dog poo on the pavements are a real danger.
neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",Time and again children or the elderly slip on them.
neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,","but similar rules are often in place for bicycles on park paths, after all."
attack,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",Increasing penalties is therefore the right way.
neither,"A fine for leaving dog waste behind admittedly seems rather authoritarian,",A dog dirt-free city will be more attractive not only for its residents but also for tourists!
neither,"but similar rules are often in place for bicycles on park paths, after all.",Pieces of dog poo on the pavements are a real danger.
neither,"but similar rules are often in place for bicycles on park paths, after all.",Time and again children or the elderly slip on them.
attack,"but similar rules are often in place for bicycles on park paths, after all.","A fine for leaving dog waste behind admittedly seems rather authoritarian,"
neither,"but similar rules are often in place for bicycles on park paths, after all.",Increasing penalties is therefore the right way.
neither,"but similar rules are often in place for bicycles on park paths, after all.",A dog dirt-free city will be more attractive not only for its residents but also for tourists!
neither,Increasing penalties is therefore the right way.,Pieces of dog poo on the pavements are a real danger.
neither,Increasing penalties is therefore the right way.,Time and again children or the elderly slip on them.
neither,Increasing penalties is therefore the right way.,"A fine for leaving dog waste behind admittedly seems rather authoritarian,"
neither,Increasing penalties is therefore the right way.,"but similar rules are often in place for bicycles on park paths, after all."
neither,Increasing penalties is therefore the right way.,A dog dirt-free city will be more attractive not only for its residents but also for tourists!
neither,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,Pieces of dog poo on the pavements are a real danger.
neither,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,Time and again children or the elderly slip on them.
neither,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,"A fine for leaving dog waste behind admittedly seems rather authoritarian,"
neither,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,"but similar rules are often in place for bicycles on park paths, after all."
support,A dog dirt-free city will be more attractive not only for its residents but also for tourists!,Increasing penalties is therefore the right way.
