relationType,argSrc,argTrg
neither,"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it.","For a good overall grade opens many doors,"
neither,"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it.",but is not of top priority for employers.
neither,"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it.","With a BA dissertation one can, however, demonstrate interests and subject matter expertise particularly well."
neither,"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it.",After all one doesn't excel in every subject.
attack,"For a good overall grade opens many doors,","The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it."
neither,"For a good overall grade opens many doors,",but is not of top priority for employers.
neither,"For a good overall grade opens many doors,","With a BA dissertation one can, however, demonstrate interests and subject matter expertise particularly well."
neither,"For a good overall grade opens many doors,",After all one doesn't excel in every subject.
neither,but is not of top priority for employers.,"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it."
attack,but is not of top priority for employers.,"For a good overall grade opens many doors,"
neither,but is not of top priority for employers.,"With a BA dissertation one can, however, demonstrate interests and subject matter expertise particularly well."
neither,but is not of top priority for employers.,After all one doesn't excel in every subject.
support,"With a BA dissertation one can, however, demonstrate interests and subject matter expertise particularly well.","The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it."
neither,"With a BA dissertation one can, however, demonstrate interests and subject matter expertise particularly well.","For a good overall grade opens many doors,"
neither,"With a BA dissertation one can, however, demonstrate interests and subject matter expertise particularly well.",but is not of top priority for employers.
neither,"With a BA dissertation one can, however, demonstrate interests and subject matter expertise particularly well.",After all one doesn't excel in every subject.
neither,After all one doesn't excel in every subject.,"The BA dissertation should, if not make up the entire grade, then at least constitute a larger share of it."
neither,After all one doesn't excel in every subject.,"For a good overall grade opens many doors,"
neither,After all one doesn't excel in every subject.,but is not of top priority for employers.
support,After all one doesn't excel in every subject.,"With a BA dissertation one can, however, demonstrate interests and subject matter expertise particularly well."
