relationType,argSrc,argTrg
neither,I think Fritz has never been in a fight in his life.,"As a boy he did use to scuffle with the other choirboys,"
neither,I think Fritz has never been in a fight in his life.,but that hardly counts as a proper brawl.
neither,I think Fritz has never been in a fight in his life.,And he always chickens out when things get dicey.
neither,I think Fritz has never been in a fight in his life.,"Yesterday, when the bouncer wouldn't let us in, he was suddenly gone."
attack,"As a boy he did use to scuffle with the other choirboys,",I think Fritz has never been in a fight in his life.
neither,"As a boy he did use to scuffle with the other choirboys,",but that hardly counts as a proper brawl.
neither,"As a boy he did use to scuffle with the other choirboys,",And he always chickens out when things get dicey.
neither,"As a boy he did use to scuffle with the other choirboys,","Yesterday, when the bouncer wouldn't let us in, he was suddenly gone."
neither,but that hardly counts as a proper brawl.,I think Fritz has never been in a fight in his life.
attack,but that hardly counts as a proper brawl.,"As a boy he did use to scuffle with the other choirboys,"
neither,but that hardly counts as a proper brawl.,And he always chickens out when things get dicey.
neither,but that hardly counts as a proper brawl.,"Yesterday, when the bouncer wouldn't let us in, he was suddenly gone."
support,And he always chickens out when things get dicey.,I think Fritz has never been in a fight in his life.
neither,And he always chickens out when things get dicey.,"As a boy he did use to scuffle with the other choirboys,"
neither,And he always chickens out when things get dicey.,but that hardly counts as a proper brawl.
neither,And he always chickens out when things get dicey.,"Yesterday, when the bouncer wouldn't let us in, he was suddenly gone."
neither,"Yesterday, when the bouncer wouldn't let us in, he was suddenly gone.",I think Fritz has never been in a fight in his life.
neither,"Yesterday, when the bouncer wouldn't let us in, he was suddenly gone.","As a boy he did use to scuffle with the other choirboys,"
neither,"Yesterday, when the bouncer wouldn't let us in, he was suddenly gone.",but that hardly counts as a proper brawl.
support,"Yesterday, when the bouncer wouldn't let us in, he was suddenly gone.",And he always chickens out when things get dicey.
