relationType,argSrc,argTrg
neither,Freddy and I must be siblings.,We both have the exact same two moles on our left arm
neither,Freddy and I must be siblings.,and you only get that with siblings.
neither,Freddy and I must be siblings.,My parents say this could also be pure coincidence.
neither,Freddy and I must be siblings.,But that much of a coincidence is simply impossible.
support,We both have the exact same two moles on our left arm,Freddy and I must be siblings.
neither,We both have the exact same two moles on our left arm,and you only get that with siblings.
neither,We both have the exact same two moles on our left arm,My parents say this could also be pure coincidence.
neither,We both have the exact same two moles on our left arm,But that much of a coincidence is simply impossible.
support,and you only get that with siblings.,Freddy and I must be siblings.
neither,and you only get that with siblings.,We both have the exact same two moles on our left arm
neither,and you only get that with siblings.,My parents say this could also be pure coincidence.
neither,and you only get that with siblings.,But that much of a coincidence is simply impossible.
neither,My parents say this could also be pure coincidence.,Freddy and I must be siblings.
neither,My parents say this could also be pure coincidence.,We both have the exact same two moles on our left arm
attack,My parents say this could also be pure coincidence.,and you only get that with siblings.
neither,My parents say this could also be pure coincidence.,But that much of a coincidence is simply impossible.
neither,But that much of a coincidence is simply impossible.,Freddy and I must be siblings.
neither,But that much of a coincidence is simply impossible.,We both have the exact same two moles on our left arm
neither,But that much of a coincidence is simply impossible.,and you only get that with siblings.
attack,But that much of a coincidence is simply impossible.,My parents say this could also be pure coincidence.
