relationType,argSrc,argTrg
neither,The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods."
support,The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).
neither,The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.,"However, the effort required for the individual equally weighted modules differs strongly."
neither,The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.,It would therefore be wise to adjust the required effort for final theses accordingly.
neither,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods.",The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.
support,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods.",That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).
neither,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods.","However, the effort required for the individual equally weighted modules differs strongly."
neither,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods.",It would therefore be wise to adjust the required effort for final theses accordingly.
neither,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).,The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.
neither,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods."
neither,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).,"However, the effort required for the individual equally weighted modules differs strongly."
attack,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).,It would therefore be wise to adjust the required effort for final theses accordingly.
neither,"However, the effort required for the individual equally weighted modules differs strongly.",The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.
neither,"However, the effort required for the individual equally weighted modules differs strongly.","This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods."
attack,"However, the effort required for the individual equally weighted modules differs strongly.",That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).
neither,"However, the effort required for the individual equally weighted modules differs strongly.",It would therefore be wise to adjust the required effort for final theses accordingly.
neither,It would therefore be wise to adjust the required effort for final theses accordingly.,The idea of the bachelor degree is to put together a cumulative grade from various individual assignments in order to generate a final grade.
neither,It would therefore be wise to adjust the required effort for final theses accordingly.,"This is also more akin to the real working world later, where performance isn't singular, but constant and has to be delivered over longer periods."
neither,It would therefore be wise to adjust the required effort for final theses accordingly.,That's why it makes sense that the bachelor thesis only makes up a relatively small portion of the final grade (15 out of 120 credits).
neither,It would therefore be wise to adjust the required effort for final theses accordingly.,"However, the effort required for the individual equally weighted modules differs strongly."
