relationType,argSrc,argTrg
neither,"BER should be re-conceptualized from scratch,",even if billions of Euros have already been invested in the existing airport project
neither,"BER should be re-conceptualized from scratch,",and this would delay the date of completion indefinitely.
neither,"BER should be re-conceptualized from scratch,",Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.
attack,even if billions of Euros have already been invested in the existing airport project,"BER should be re-conceptualized from scratch,"
neither,even if billions of Euros have already been invested in the existing airport project,and this would delay the date of completion indefinitely.
neither,even if billions of Euros have already been invested in the existing airport project,Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.
attack,and this would delay the date of completion indefinitely.,"BER should be re-conceptualized from scratch,"
neither,and this would delay the date of completion indefinitely.,even if billions of Euros have already been invested in the existing airport project
neither,and this would delay the date of completion indefinitely.,Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.
support,Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.,"BER should be re-conceptualized from scratch,"
neither,Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.,even if billions of Euros have already been invested in the existing airport project
neither,Both the drawn-out building operations and the mounting safety issues show clear shortcomings in the entire planning.,and this would delay the date of completion indefinitely.
