relationType,argSrc,argTrg
neither,"No, the retirement age should be raised to 65 again.","People are getting older on average,"
neither,"No, the retirement age should be raised to 65 again.",but they are not sicker and not duller because of it.
neither,"No, the retirement age should be raised to 65 again.",Without them we'd forgo a great deal of collected experience.
neither,"No, the retirement age should be raised to 65 again.",And we'd have to offer more leisure activities for seniors.
neither,"People are getting older on average,","No, the retirement age should be raised to 65 again."
attack,"People are getting older on average,",but they are not sicker and not duller because of it.
neither,"People are getting older on average,",Without them we'd forgo a great deal of collected experience.
neither,"People are getting older on average,",And we'd have to offer more leisure activities for seniors.
support,but they are not sicker and not duller because of it.,"No, the retirement age should be raised to 65 again."
neither,but they are not sicker and not duller because of it.,"People are getting older on average,"
neither,but they are not sicker and not duller because of it.,Without them we'd forgo a great deal of collected experience.
neither,but they are not sicker and not duller because of it.,And we'd have to offer more leisure activities for seniors.
support,Without them we'd forgo a great deal of collected experience.,"No, the retirement age should be raised to 65 again."
neither,Without them we'd forgo a great deal of collected experience.,"People are getting older on average,"
neither,Without them we'd forgo a great deal of collected experience.,but they are not sicker and not duller because of it.
neither,Without them we'd forgo a great deal of collected experience.,And we'd have to offer more leisure activities for seniors.
support,And we'd have to offer more leisure activities for seniors.,"No, the retirement age should be raised to 65 again."
neither,And we'd have to offer more leisure activities for seniors.,"People are getting older on average,"
neither,And we'd have to offer more leisure activities for seniors.,but they are not sicker and not duller because of it.
neither,And we'd have to offer more leisure activities for seniors.,Without them we'd forgo a great deal of collected experience.
