relationType,argSrc,argTrg
neither,"Germany's aging society is undergoing demographic change,",and the age of those who are physically and mentally fit is increasing steadily.
support,"Germany's aging society is undergoing demographic change,",Thus social security and pension costs are increasing.
neither,"Germany's aging society is undergoing demographic change,",Yet no one should be required to work for more than 40 years.
neither,"Germany's aging society is undergoing demographic change,",Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
neither,and the age of those who are physically and mentally fit is increasing steadily.,"Germany's aging society is undergoing demographic change,"
support,and the age of those who are physically and mentally fit is increasing steadily.,Thus social security and pension costs are increasing.
neither,and the age of those who are physically and mentally fit is increasing steadily.,Yet no one should be required to work for more than 40 years.
neither,and the age of those who are physically and mentally fit is increasing steadily.,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
neither,Thus social security and pension costs are increasing.,"Germany's aging society is undergoing demographic change,"
neither,Thus social security and pension costs are increasing.,and the age of those who are physically and mentally fit is increasing steadily.
neither,Thus social security and pension costs are increasing.,Yet no one should be required to work for more than 40 years.
support,Thus social security and pension costs are increasing.,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
neither,Yet no one should be required to work for more than 40 years.,"Germany's aging society is undergoing demographic change,"
neither,Yet no one should be required to work for more than 40 years.,and the age of those who are physically and mentally fit is increasing steadily.
neither,Yet no one should be required to work for more than 40 years.,Thus social security and pension costs are increasing.
attack,Yet no one should be required to work for more than 40 years.,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.
neither,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.,"Germany's aging society is undergoing demographic change,"
neither,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.,and the age of those who are physically and mentally fit is increasing steadily.
neither,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.,Thus social security and pension costs are increasing.
neither,Raising the relative retirement age on the basis of the physical fitness of the average citizen is fair.,Yet no one should be required to work for more than 40 years.
